RedIzo;Nazev;Ico;AdresaRUIAN;TypZrizovatele;ZrizovatelIco;ZrizovatelNazev;SkolaIzo;SkolaNazev;DruhSkoly;SkolaAdresa;EditorIco;EditorNazev;t1;t2;t3;t4;t5;t6;t7;t8;t9;Stupen
600039978;1. Mateøská škola, Praha 9 - Újezd nad Lesy, Èentická 2222;49371665;26210100;2;240923;Mìstská èást Praha 21;49371665;Mateøská škola;A00;26210100;64581;Hlavní mìsto Praha;;;;;;;;;;
600039285;Fakultní mateøská škola pøi Pedagogické fakultì Univerzity Karlovy, Praha 7,Na Vıšinách 3;49624415;22296123;2;63754;Mìstská èást Praha 7;49624415;Mateøská škola;A00;22296123;64581;Hlavní mìsto Praha;;;;;;;;;;
600038980;Fakultní mateøská škola se speciální péèí;65994027;22291491;2;63703;Mìstská èást Praha 6;107502712;Mateøská škola;A00;22291491;64581;Hlavní mìsto Praha;;;;;;;;;;
600038009;Fakultní mateøská škola SLUNÍÈKO POD STØECHOU pøi Pedagogické fakultì UK, Praha 13, Mohylová 1964;65991001;22123041;2;241687;Mìstská èást Praha 13;102401675;Mateøská škola;A00;22123041;64581;Hlavní mìsto Praha;;;;;;;;;;
600038238;Fakultní základní škola a mateøská škola Barrandov II pøi PedF UK, Praha 5 - Hluboèepy, V Remízku 7/919, pøíspìvková organizace;69781745;22699180;2;63631;Mìstská èást Praha 5;102161771;Mateøská škola;A00;22713221;64581;Hlavní mìsto Praha;;;;;;;;;;
600038238;Fakultní základní škola a mateøská škola Barrandov II pøi PedF UK, Praha 5 - Hluboèepy, V Remízku 7/919, pøíspìvková organizace;69781745;22699180;2;63631;Mìstská èást Praha 5;102020442;Základní škola;B00;22699180;64581;Hlavní mìsto Praha;X;X;X;X;X;X;X;X;X;3
600038246;Fakultní základní škola a mateøská škola Pedagogické fakulty Univerzity Karlovy, Praha 5 – Smíchov, Grafická 13/1060, pøíspìvková organizace;44851987;22085700;2;63631;Mìstská èást Praha 5;107501961;Mateøská škola;A00;22081551;64581;Hlavní mìsto Praha;;;;;;;;;;
600038246;Fakultní základní škola a mateøská škola Pedagogické fakulty Univerzity Karlovy, Praha 5 – Smíchov, Grafická 13/1060, pøíspìvková organizace;44851987;22085700;2;63631;Mìstská èást Praha 5;44851987;Základní škola;B00;22085700;64581;Hlavní mìsto Praha;X;X;X;X;X;X;X;X;X;3
600038271;Fakultní základní škola Pedagogické fakulty UK, Praha 13, Mezi Školami 2322;61385531;22706526;2;241687;Mìstská èást Praha 13;102161780;Základní škola;B00;22706526;64581;Hlavní mìsto Praha;X;X;X;X;X;X;X;X;X;3
600038181;Fakultní základní škola Pedagogické fakulty UK, Praha 13, Trávníèkova 1744;68407904;22120882;2;241687;Mìstská èást Praha 13;48133604;Základní škola;B00;22120882;64581;Hlavní mìsto Praha;X;X;X;X;X;X;X;X;X;3
600039374;Fakultní základní škola PedF UK a Mateøská škola U Studánky Praha 7, Umìlecká 8;60435216;22304118;2;63754;Mìstská èást Praha 7;60435216;Základní škola;B00;22304118;64581;Hlavní mìsto Praha;X;X;X;X;X;X;X;X;X;3
600039374;Fakultní základní škola PedF UK a Mateøská škola U Studánky Praha 7, Umìlecká 8;60435216;22304118;2;63754;Mìstská èást Praha 7;107502909;Mateøská škola;A00;22304126;64581;Hlavní mìsto Praha;;;;;;;;;;
600038513;Fakultní základní škola profesora Otokara Chlupa Pedagogické fakulty UK, Praha 13, Fingerova 2186;61385620;22703756;2;241687;Mìstská èást Praha 13;108022854;Základní škola;B00;22703756;64581;Hlavní mìsto Praha;X;X;X;X;X;X;X;X;X;3
600038173;Fakultní základní škola pøi Pedagogické fakultì UK, Praha 13, Brdièkova 1878;67799612;22122222;2;241687;Mìstská èást Praha 13;48133485;Základní škola;B00;22122222;64581;Hlavní mìsto Praha;X;X;X;X;X;X;X;X;X;3
600038211;Fakultní základní škola s rozšíøenou vıukou jazykù pøi PedF UK, Praha 5 - Smíchov, Drtinova 1/1861, pøíspìvková organizace;69781869;22094881;2;63631;Mìstská èást Praha 5;102385378;Základní škola;B00;22094881;64581;Hlavní mìsto Praha;X;X;X;X;X;X;X;X;X;3
600040429;Fakultní základní škola, Praha 9 - Horní Poèernice, Chodovická 2250;49625195;22451731;2;240192;Mìstská èást Praha 20;102385874;Základní škola;B00;22451731;64581;Hlavní mìsto Praha;X;X;X;X;X;X;X;X;X;3
600036936;Internátní mateøská škola, Praha 4, Stachova 518;63108232;21818533;2;231126;Mìstská èást Praha 11;107500736;Mateøská škola;A00;21818533;64581;Hlavní mìsto Praha;;;;;;;;;;
600036715;Krèská mateøská škola, Praha 4, Tajovského 1309;61384771;21870365;2;63584;Mìstská èást Praha 4;107501104;Mateøská škola;A00;21870365;64581;Hlavní mìsto Praha;;;;;;;;;;
600035239;Malostranská základní škola;60436093;21700788;2;63410;Mìstská èást Praha 1;60436093;Základní škola;B00;21700788;64581;Hlavní mìsto Praha;X;X;X;X;X;X;X;X;X;3
600040488;Masarykova základní škola Praha - Klánovice;63833956;22470131;2;240281;Mìstská èást Praha - Klánovice;102301514;Základní škola;B00;22470131;64581;Hlavní mìsto Praha;X;X;X;X;X;X;X;X;X;3
600040593;Masarykova základní škola, Praha 9 - Újezd nad Lesy, Polesná 1690;47608579;22690212;2;240923;Mìstská èást Praha 21;47608579;Základní škola;B00;22690212;64581;Hlavní mìsto Praha;X;X;X;X;X;X;X;X;X;3
600035417;"Mateøská škola ""Ètyølístek"", Praha 2, Øímská 27";70891028;21752044;2;63461;Mìstská èást Praha 2;107500272;Mateøská škola;A00;21752044;64581;Hlavní mìsto Praha;;;;;;;;;;
600037673;"Mateøská škola ""Slunéèko"" Praha 5 - Košíøe, Beníškové 988, pøíspìvková organizace";70107769;22028528;2;63631;Mìstská èást Praha 5;107501783;Mateøská škola;A00;22028528;64581;Hlavní mìsto Praha;;;;;;;;;;
600035506;"Mateøská škola ""Trojlístek"", Praha 2, Kladská 25";70890935;21757054;2;63461;Mìstská èást Praha 2;107500183;Mateøská škola;A00;21757054;64581;Hlavní mìsto Praha;;;;;;;;;;
600037720;"Mateøská škola ""U Krteèka"" Praha 5 - Motol, Kudrnova 235, pøíspìvková organizace";70107777;22042342;2;63631;Mìstská èást Praha 5;107501830;Mateøská škola;A00;22042342;64581;Hlavní mìsto Praha;;;;;;;;;;
600040216;"Mateøská škola ""U Rybníèku"", Praha 9 - Horní Poèernice, Køovinovo nám.115";70922144;22430709;2;240192;Mìstská èást Praha 20;107503476;Mateøská škola;A00;22430709;64581;Hlavní mìsto Praha;;;;;;;;;;
600036740;Mateøská škola 4 pastelky, Praha 4, Sedlèanská 14;61384658;21906866;2;63584;Mìstská èást Praha 4;107501244;Mateøská škola;A00;21906866;64581;Hlavní mìsto Praha;;;;;;;;;;
691009449;Mateøská škola Albrechtická, pøíspìvková organizace;71294368;22464514;2;231304;Mìstská èást Praha 19;181078660;Mateøská škola;A00;22464514;64581;Hlavní mìsto Praha;;;;;;;;;;
600036260;Mateøská škola Alšovy sady, Praha 4, Na Vìtrovì 22;61385026;24986429;2;63584;Mìstská èást Praha 4;107501163;Mateøská škola;A00;24986429;64581;Hlavní mìsto Praha;;;;;;;;;;
612400506;Mateøská škola BALÓNEK, Praha 13, Janského 2188;75030802;22694455;2;241687;Mìstská èást Praha 13;112400515;Mateøská škola;A00;22694455;64581;Hlavní mìsto Praha;;;;;;;;;;
600037550;Mateøská škola BARVIÈKA, Praha 13, Klausova 2449;61381551;22716149;2;241687;Mìstská èást Praha 13;60434465;Mateøská škola;A00;22716149;64581;Hlavní mìsto Praha;;;;;;;;;;
600038599;Mateøská škola Bendova, Praha 6 - Øepy, Bendova 1/1123;70974144;22251111;2;231223;Mìstská èást Praha 17;107502551;Mateøská škola;A00;22251111;64581;Hlavní mìsto Praha;;;;;;;;;;
691011532;Mateøská škola Beranov, pøíspìvková organizace;6072283;77533356;2;231274;Mìstská èást Praha - Dolní Chabry;181092212;Mateøská škola;A00;77533356;64581;Hlavní mìsto Praha;;;;;;;;;;
600039463;Mateøská škola Bílenecké nám., pøíspìvková organizace;70986819;22334751;2;231274;Mìstská èást Praha - Dolní Chabry;107503107;Mateøská škola;A00;22334751;64581;Hlavní mìsto Praha;;;;;;;;;;
600036251;Mateøská škola BoTa, Praha 4, Boleslavova 1a;47611669;25018841;2;63584;Mìstská èást Praha 4;47611669;Mateøská škola;A00;25018841;64581;Hlavní mìsto Praha;;;;;;;;;;
691003386;Mateøská škola Bøezinìves, pøíspìvková organizace;72548223;40682307;2;240109;Mìstská èást Praha - Bøezinìves;181031892;Mateøská škola;A00;40682307;64581;Hlavní mìsto Praha;;;;;;;;;;
600038718;Mateøská škola Bubeníèkova;70885397;22170243;2;63703;Mìstská èást Praha 6;107502488;Mateøská škola;A00;22170243;64581;Hlavní mìsto Praha;;;;;;;;;;
661000168;Mateøská škola Èakovice I;75031370;22412794;2;231291;Mìstská èást Praha - Èakovice;161000177;Mateøská škola;A00;22412794;64581;Hlavní mìsto Praha;;;;;;;;;;
661000133;Mateøská škola Èakovice II;75031388;22518037;2;231291;Mìstská èást Praha - Èakovice;161000142;Mateøská škola;A00;22518037;64581;Hlavní mìsto Praha;;;;;;;;;;
661102769;Mateøská škola Èakovice III;75116529;27530566;2;231291;Mìstská èást Praha - Èakovice;161102778;Mateøská škola;A00;27530566;64581;Hlavní mìsto Praha;;;;;;;;;;
600038726;Mateøská škola Èínská, pøíspìvková organizace;70920613;22208623;2;63703;Mìstská èást Praha 6;107502364;Mateøská škola;A00;22208623;64581;Hlavní mìsto Praha;;;;;;;;;;
691001758;Mateøská škola Ètyølístek Praha-Bìchovice;72070609;27925501;2;240044;Mìstská èást Praha - Bìchovice;150006918;Mateøská škola;A00;27925501;64581;Hlavní mìsto Praha;;;;;;;;;;
600037991;Mateøská škola ÈTYØLÍSTEK, Praha 13, Mezi Školami 2323;65991249;22730737;2;241687;Mìstská èást Praha 13;102161763;Mateøská škola;A00;22730737;64581;Hlavní mìsto Praha;;;;;;;;;;
600040984;Mateøská škola dánského typu, Praha 10, Libkovská 1069;48132365;22575651;2;231355;Mìstská èást Praha 15;48132365;Mateøská škola;A00;22575651;64581;Hlavní mìsto Praha;;;;;;;;;;
600040925;Mateøská škola Dolní Mìcholupy;70926271;22550933;2;231347;Mìstská èást Praha - Dolní Mìcholupy;107504405;Mateøská škola;A00;22550933;64581;Hlavní mìsto Praha;;;;;;;;;;
600039986;Mateøská škola DUHA, Praha 9 - Dolní Poèernice, Svatoòovická 587;75031604;22419187;2;240150;Mìstská èást Praha - Dolní Poèernice;107503468;Mateøská škola;A00;22419187;64581;Hlavní mìsto Praha;;;;;;;;;;
691009783;Mateøská škola Formanská, pøíspìvková organizace;71294350;75323885;2;241784;Mìstská èást Praha - Újezd;181082578;Mateøská škola;A00;75323885;64581;Hlavní mìsto Praha;;;;;;;;;;
600038661;Mateøská škola Gagarinova;70992223;22279270;2;231231;Mìstská èást Praha - Suchdol;107502674;Mateøská škola;A00;22279270;64581;Hlavní mìsto Praha;;;;;;;;;;
600040852;Mateøská škola Harmonie, Praha 10, pøíspìvková organizace;70924287;22670998;2;63941;Mìstská èást Praha 10;107504332;Mateøská škola;A00;22670998;64581;Hlavní mìsto Praha;;;;;;;;;;
600037959;Mateøská škola HAVAJ, Praha 13, Mezi Školami 2482;61386014;22717714;2;241687;Mìstská èást Praha 13;108022943;Mateøská škola;A00;22717714;64581;Hlavní mìsto Praha;;;;;;;;;;
600035212;Mateøská škola Hellichova;67365957;21697418;2;63410;Mìstská èást Praha 1;107500051;Mateøská škola;A00;21697418;64581;Hlavní mìsto Praha;;;;;;;;;;
600040674;Mateøská škola Høibská , Praha 10, pøíspìvková organizace;48132489;22624601;2;63941;Mìstská èást Praha 10;48132489;Mateøská škola;A00;22624601;64581;Hlavní mìsto Praha;;;;;;;;;;
600036529;Mateøská škola Hvìzdièka v Praze 12;63109735;21851701;2;231151;Mìstská èást Praha 12;107501147;Mateøská škola;A00;21851701;64581;Hlavní mìsto Praha;;;;;;;;;;
600039633;Mateøská škola Chaberáèek, Praha 8 - Dolní Chabry, Protilehlá 235;70986801;22336770;2;231274;Mìstská èást Praha - Dolní Chabry;107503115;Mateøská škola;A00;22336770;64581;Hlavní mìsto Praha;;;;;;;;;;
600038742;Mateøská škola Charlese de Gaulla;70945276;22183019;2;63703;Mìstská èást Praha 6;107502321;Mateøská škola;A00;22183019;64581;Hlavní mìsto Praha;;;;;;;;;;
600040101;Mateøská škola JAHODNICE, Praha 9 - Kyje, Kostlivého 1218;70919593;22491031;2;231312;Mìstská èást Praha 14;107504561;Mateøská škola;A00;22491031;64581;Hlavní mìsto Praha;;;;;;;;;;
600036545;Mateøská škola Jahùdka v Praze 12;63109701;21936943;2;231151;Mìstská èást Praha 12;107501333;Mateøská škola;A00;21936943;64581;Hlavní mìsto Praha;;;;;;;;;;
600038769;Mateøská škola Jílkova;70886857;22168079;2;63703;Mìstská èást Praha 6;107502291;Mateøská škola;A00;22168079;64581;Hlavní mìsto Praha;;;;;;;;;;
600038777;Mateøská škola Juárezova;70942676;22184996;2;63703;Mìstská èást Praha 6;107502747;Mateøská škola;A00;22184996;64581;Hlavní mìsto Praha;;;;;;;;;;
600036995;Mateøská škola K Lukám;49624628;21902143;2;231142;Mìstská èást Praha - Libuš;107501210;Mateøská škola;A00;21902143;64581;Hlavní mìsto Praha;;;;;;;;;;
600038670;Mateøská škola K Roztokùm;70992231;22277064;2;231231;Mìstská èást Praha - Suchdol;107502682;Mateøská škola;A00;22277064;64581;Hlavní mìsto Praha;;;;;;;;;;
691013705;Mateøská škola Karásek v Praze 12, pøíspìvková organizace;8781117;21936056;2;231151;Mìstská èást Praha 12;181109417;Mateøská škola;A00;21936056;64581;Hlavní mìsto Praha;;;;;;;;;;
600036413;Mateøská škola Ke Kašnì;60437961;21958467;2;231142;Mìstská èást Praha - Libuš;107501503;Mateøská škola;A00;21958467;64581;Hlavní mìsto Praha;;;;;;;;;;
600040267;Mateøská škola Klánovice, pøíspìvková organizace;70947562;22470310;2;240281;Mìstská èást Praha - Klánovice;107503590;Mateøská škola;A00;22470310;64581;Hlavní mìsto Praha;;;;;;;;;;
600037983;Mateøská škola KLUBÍÈKO, Praha 13, Bìhounkova 2300;65991257;22706518;2;241687;Mìstská èást Praha 13;102161755;Mateøská škola;A00;22706518;64581;Hlavní mìsto Praha;;;;;;;;;;
612800334;Mateøská škola Korálek, Praha 9 - Èernı Most, Bobkova 766;70884501;25191128;2;231312;Mìstská èást Praha 14;112800343;Mateøská škola;A00;25191128;64581;Hlavní mìsto Praha;;;;;;;;;;
600039307;Mateøská škola Kostelní, Praha 7, Kostelní 37/7;70886253;22296450;2;63754;Mìstská èást Praha 7;107502810;Mateøská škola;A00;22296450;64581;Hlavní mìsto Praha;;;;;;;;;;
